mesh_prefix_original_absolute,mesh_base,field_code_fa,field_V_per_cm_inferred_times10,direction_sequence,N_dir,activation_time_ms
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.01,0.1,xX,2,30.4
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.01,0.1,yY,2,29.9
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.02,0.2,xX,2,18.15
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.02,0.2,yY,2,15.6
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.03,0.3,xX,2,14.85
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.03,0.3,yY,2,13.3
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.04,0.4,xX,2,12.9
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.04,0.4,yY,2,12.1
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.05,0.5,xX,2,12.05
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.05,0.5,yY,2,10.7
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.01,0.1,xXyY,4,27.55
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.01,0.1,yYxX,4,26.85
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.02,0.2,xXyY,4,13.85
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.02,0.2,yYxX,4,13.85
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.03,0.3,xXyY,4,13.1
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.03,0.3,yYxX,4,12.55
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.04,0.4,xXyY,4,11.7
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.04,0.4,yYxX,4,11.45
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.05,0.5,xXyY,4,10.45
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.05,0.5,yYxX,4,10.05
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.01,0.1,x,1,27.55
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.01,0.1,y,1,27.3
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.02,0.2,x,1,17.9
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.02,0.2,y,1,15.7
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.03,0.3,x,1,14.85
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.03,0.3,y,1,14.0
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.04,0.4,x,1,13.5
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.04,0.4,y,1,13.15
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.05,0.5,x,1,12.7
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.05,0.5,y,1,11.8
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.01,0.1,xX,2,31.65
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.01,0.1,yY,2,31.35
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.02,0.2,xX,2,18.4
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.02,0.2,yY,2,15.45
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.03,0.3,xX,2,14.85
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.03,0.3,yY,2,13.0
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.04,0.4,xX,2,12.65
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.04,0.4,yY,2,11.75
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.05,0.5,xX,2,11.45
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.05,0.5,yY,2,12.15
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.01,0.1,xXyY,4,40.55
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.01,0.1,yYxX,4,39.8
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.02,0.2,xXyY,4,12.65
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.02,0.2,yYxX,4,12.65
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.03,0.3,xXyY,4,12.1
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.03,0.3,yYxX,4,12.0
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.04,0.4,xXyY,4,11.6
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.04,0.4,yYxX,4,11.4
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.05,0.5,xXyY,4,10.6
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.05,0.5,yYxX,4,10.1
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.01,0.1,xXy,3,21.85
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.01,0.1,yYx,3,21.7
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.02,0.2,xXy,3,17.9
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.02,0.2,yYx,3,16.35
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.03,0.3,xXy,3,17.05
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.03,0.3,yYx,3,17.65
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.04,0.4,xXy,3,15.4
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.04,0.4,yYx,3,16.85
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.05,0.5,xXy,3,16.7
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.05,0.5,yYx,3,13.6
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.01,0.1,X,1,29.25
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.01,0.1,Y,1,29.0
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.02,0.2,X,1,18.65
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.02,0.2,Y,1,18.7
